30.0,31.0,31.0,55.0,55.0,50.0
85.0,90.0,75.0,200.0,120.0,100.0
0.0,10.0,0.0,0.0,0.0,10.0
310.0,320.0,320.0,0.0,0.0,10.0
0.0,10.0,0.0,230.0,240.0,240.0
320.0,320.0,310.0,230.0,240.0,240.0
75.0,90.0,85.0,100.0,120.0,200.0
150.0,200.0,160.0,20.0,30.0,50.0
180.0,225.0,250.0,25.0,32.0,40.0
100.0,120.0,110.0,75.0,70.0,90.0
100.0,120.0,110.0,75.0,70.0,90.0
25.0,200.0,300.0,100.0,50.0,150.0
30.40,31.10,31.70,55.20,55.60,50.50
85.30,90.70,75.20,200.40,120.80,100.60
0.20,10.60,0.70,0.30,0.50,10.40
310.50,320.70,320.20,0.40,0.30,10.80
0.60,10.20,0.30,230.70,240.90,240.10
320.40,320.90,310.50,230.60,240.30,240.80
75.10,90.80,85.60,100.20,120.40,200.90
150.30,200.60,160.40,20.90,30.20,50.80
180.50,225.70,250.40,25.60,32.30,40.90
100.20,120.80,110.40,75.30,70.60,90.10
100.20,120.80,110.40,75.30,70.60,90.10
25.50,200.30,300.70,100.90,50.20,150.60
